"path_id","criteria","criteria_item","hr_os","selog_hr_os","ae","number_of_patients","ease","g_index","pareto_os","sucra_os"
"C0","","",0.73731750287987,0.0966672761777364,0.272855133614627,791,0.123591552036529,1,1,39.5861468144744
"C1463","ECOG, ANC, Platelets, ALT_AST, Total_bilirubin, CNS_metastasis, HIV_v2, Autoimmune_disease","1, 2, 3, 5, 6, 8, 9, 11",0.767126991251217,0.0860092895056802,0.21969696969697,1675,0.0394934197789207,0.469345546471789,1,35.6231660816646
"C1975","ECOG, ANC, Platelets, ALT_AST, Total_bilirubin, CNS_metastasis, HIV_v2, Hepatitis_B_C, Autoimmune_disease","1, 2, 3, 5, 6, 8, 9, 10, 11",0.767126991251217,0.0860092895056802,0.21969696969697,1675,0.0394934197789207,0.469345546471789,1,35.5745814499634
"C1527","ECOG, ANC, Platelets, ALT_AST, Total_bilirubin, Creatinine_v5, CNS_metastasis, HIV_v2, Autoimmune_disease","1, 2, 3, 5, 6, 7, 8, 9, 11",0.767126991251217,0.0860092895056802,0.21969696969697,1675,0.0394934197789207,0.469345546471789,1,35.5150880028282
"C1947","ECOG, ANC, Hemoglobin, ALT_AST, CNS_metastasis, HIV_v2, Hepatitis_B_C, Autoimmune_disease","1, 2, 4, 5, 8, 9, 10, 11",0.767633257865948,0.0878555404150837,0.219426974143955,1655,0.0317861823083958,0.47848048071804,1,35.5054417817732
"C2039","ECOG, ANC, Platelets, ALT_AST, Total_bilirubin, Creatinine_v5, CNS_metastasis, HIV_v2, Hepatitis_B_C, Autoimmune_disease","1, 2, 3, 5, 6, 7, 8, 9, 10, 11",0.767126991251217,0.0860092895056802,0.21969696969697,1675,0.0394934197789207,0.469345546471789,1,35.3932981490366
"C1499","ECOG, ANC, Hemoglobin, ALT_AST, Creatinine_v5, CNS_metastasis, HIV_v2, Autoimmune_disease","1, 2, 4, 5, 7, 8, 9, 11",0.767633257865948,0.0878555404150837,0.219426974143955,1655,0.0317861823083958,0.47848048071804,1,35.3565314007222
"C1435","ECOG, ANC, Hemoglobin, ALT_AST, CNS_metastasis, HIV_v2, Autoimmune_disease","1, 2, 4, 5, 8, 9, 11",0.767633257865948,0.0878555404150837,0.219426974143955,1655,0.0317861823083958,0.47848048071804,1,35.3440064644832
"C2035","ECOG, ANC, ALT_AST, Total_bilirubin, Creatinine_v5, CNS_metastasis, HIV_v2, Hepatitis_B_C, Autoimmune_disease","1, 2, 5, 6, 7, 8, 9, 10, 11",0.768854024956585,0.0849528971426785,0.21928038017651,1701,0.0241308370737574,0.46541692703534,1,35.2991591121436
"C1971","ECOG, ANC, ALT_AST, Total_bilirubin, CNS_metastasis, HIV_v2, Hepatitis_B_C, Autoimmune_disease","1, 2, 5, 6, 8, 9, 10, 11",0.768854024956585,0.0849528971426785,0.21928038017651,1701,0.0241308370737574,0.46541692703534,1,35.2870887098811
"C1523","ECOG, ANC, ALT_AST, Total_bilirubin, Creatinine_v5, CNS_metastasis, HIV_v2, Autoimmune_disease","1, 2, 5, 6, 7, 8, 9, 11",0.768854024956585,0.0849528971426785,0.21928038017651,1701,0.0241308370737574,0.46541692703534,1,35.2545390267923
"C2011","ECOG, ANC, Hemoglobin, ALT_AST, Creatinine_v5, CNS_metastasis, HIV_v2, Hepatitis_B_C, Autoimmune_disease","1, 2, 4, 5, 7, 8, 9, 10, 11",0.767633257865948,0.0878555404150837,0.219426974143955,1655,0.0317861823083958,0.47848048071804,1,35.2148178076311
"C1459","ECOG, ANC, ALT_AST, Total_bilirubin, CNS_metastasis, HIV_v2, Autoimmune_disease","1, 2, 5, 6, 8, 9, 11",0.768854024956585,0.0849528971426785,0.21928038017651,1701,0.0241308370737574,0.46541692703534,1,35.0827251837075
"C499","ECOG, ANC, ALT_AST, Total_bilirubin, Creatinine_v5, CNS_metastasis, HIV_v2","1, 2, 5, 6, 7, 8, 9",0.775618417660963,0.084885825347745,0.219131614654003,1703,0.0186992294962891,0.465025215842444,1,34.2828211408803
"C1011","ECOG, ANC, ALT_AST, Total_bilirubin, Creatinine_v5, CNS_metastasis, HIV_v2, Hepatitis_B_C","1, 2, 5, 6, 7, 8, 9, 10",0.775618417660963,0.084885825347745,0.219131614654003,1703,0.0186992294962891,0.465025215842444,1,34.1813590565895
"C435","ECOG, ANC, ALT_AST, Total_bilirubin, CNS_metastasis, HIV_v2","1, 2, 5, 6, 8, 9",0.775618417660963,0.084885825347745,0.219131614654003,1703,0.0186992294962891,0.465025215842444,1,34.1777480366657
"C947","ECOG, ANC, ALT_AST, Total_bilirubin, CNS_metastasis, HIV_v2, Hepatitis_B_C","1, 2, 5, 6, 8, 9, 10",0.775618417660963,0.084885825347745,0.219131614654003,1703,0.0186992294962891,0.465025215842444,1,34.1316128380596
"C1969","ECOG, ALT_AST, Total_bilirubin, CNS_metastasis, HIV_v2, Hepatitis_B_C, Autoimmune_disease","1, 5, 6, 8, 9, 10, 11",0.776363917027633,0.0848661939810159,0.220189701897019,1707,0.0272159079262813,0.465889955158114,1,34.0184338779324
"C1457","ECOG, ALT_AST, Total_bilirubin, CNS_metastasis, HIV_v2, Autoimmune_disease","1, 5, 6, 8, 9, 11",0.776363917027633,0.0848661939810159,0.220189701897019,1707,0.0272159079262813,0.465889955158114,1,33.9985353905204
"C2033","ECOG, ALT_AST, Total_bilirubin, Creatinine_v5, CNS_metastasis, HIV_v2, Hepatitis_B_C, Autoimmune_disease","1, 5, 6, 7, 8, 9, 10, 11",0.776363917027633,0.0848661939810159,0.220189701897019,1707,0.0272159079262813,0.465889955158114,1,33.888664427666
"C1521","ECOG, ALT_AST, Total_bilirubin, Creatinine_v5, CNS_metastasis, HIV_v2, Autoimmune_disease","1, 5, 6, 7, 8, 9, 11",0.776363917027633,0.0848661939810159,0.220189701897019,1707,0.0272159079262813,0.465889955158114,1,33.8629327542234
"C923","ECOG, ANC, Hemoglobin, ALT_AST, CNS_metastasis, HIV_v2, Hepatitis_B_C","1, 2, 4, 5, 8, 9, 10",0.774741838247762,0.109887034311244,0.219120725750175,1658,0.0583929003116355,0.477932057051286,1,33.5549607333148
