"path_id","criteria","criteria_item","hr_os","selog_hr_os","hr_pfs","selog_hr_pfs","ae","number_of_patients","ease","g_index","pareto_os","sucra_os","pareto_pfs","sucra_pfs"
"C723","ECOG, WBC, Hemoglobin, Total_bilirubin, Creatinine_v4, HIV_v2","1, 2, 5, 7, 8, 10",0.578372703891102,0.204164288949736,0.297155149521284,0.155520162896608,0.219050573999381,3536,0.387721469767935,0.98493895163867,1,17.6717476691133,0,1.60856038866276
"C755","ECOG, WBC, Hemoglobin, ALT_AST_v3, Total_bilirubin, Creatinine_v4, HIV_v2","1, 2, 5, 6, 7, 8, 10",0.57732617209336,0.201448093541412,0.293464796383391,0.150692246526823,0.219092331768385,3501,0.39443237453228,0.982258410629729,1,17.6648046022615,0,1.65831842140418
"C51","ECOG, WBC, Hemoglobin, ALT_AST_v3","1, 2, 5, 6",0.576276452580358,0.227051965959161,0.292968923066583,0.184528723864902,0.219888820259419,3547,0.400934993340496,0.985425924450434,1,17.5554691529458,0,1.62473210103473
"C627","ECOG, WBC, Hemoglobin, ALT_AST_v3, Total_bilirubin, HIV_v2","1, 2, 5, 6, 7, 10",0.57732617209336,0.201448093541412,0.293464796383391,0.150692246526823,0.219092331768385,3501,0.39443237453228,0.982258410629729,1,17.5471374727237,0,1.65826255028654
"C1619","ECOG, WBC, Hemoglobin, Total_bilirubin, HIV_v2, Hepatitis_B_C_v2","1, 2, 5, 7, 10, 11",0.577945965265258,0.206649301723717,0.297484885990413,0.158738245701044,0.21828358208955,3529,0.38873789799019,0.983630940244707,1,17.5231104939496,0,1.59889725565264
"C1587","ECOG, WBC, Hemoglobin, ALT_AST_v3, HIV_v2, Hepatitis_B_C_v2","1, 2, 5, 6, 10, 11",0.5782243343531,0.234721705326047,0.29297588514605,0.193923011859646,0.218914728682174,3534,0.402764249794677,0.983108737861292,1,17.5061456060305,0,1.62491993892056
"C179","ECOG, WBC, Hemoglobin, ALT_AST_v3, Creatinine_v4","1, 2, 5, 6, 8",0.576276452580358,0.227051965959161,0.292968923066583,0.184528723864902,0.219888820259419,3547,0.400934993340496,0.985425924450434,1,17.4929180718112,0,1.62900387411412
"C595","ECOG, WBC, Hemoglobin, Total_bilirubin, HIV_v2","1, 2, 5, 7, 10",0.578372703891102,0.204164288949736,0.297155149521284,0.155520162896608,0.219050573999381,3536,0.387721469767935,0.98493895163867,1,17.4437214838326,0,1.60230255292452
"C691","ECOG, WBC, Hemoglobin, ALT_AST_v3, Creatinine_v4, HIV_v2","1, 2, 5, 6, 8, 10",0.576664744739155,0.229388707284649,0.292838543757239,0.187392875325928,0.219678217821784,3541,0.402177510388338,0.984396678289579,1,17.4350089268002,0,1.6314767460147
"C659","ECOG, WBC, Hemoglobin, Creatinine_v4, HIV_v2","1, 2, 5, 8, 10",0.57769195263821,0.231973401761279,0.292254638190141,0.191577356268149,0.219161310070399,3584,0.403347993642597,0.986876673049225,1,17.4150605038683,1,23.5500072579475
"C1747","ECOG, WBC, Hemoglobin, Total_bilirubin, Creatinine_v4, HIV_v2, Hepatitis_B_C_v2","1, 2, 5, 7, 8, 10, 11",0.577945965265258,0.206649301723717,0.297484885990413,0.158738245701044,0.21828358208955,3529,0.38873789799019,0.983630940244707,1,17.4114501091053,0,1.60344249958993
"C531","ECOG, WBC, Hemoglobin, HIV_v2","1, 2, 5, 10",0.57769195263821,0.231973401761279,0.292254638190141,0.191577356268149,0.219161310070399,3584,0.403347993642597,0.986876673049225,1,17.3931918270184,1,23.9190980790632
"C1203","ECOG, WBC, Hemoglobin, ALT_AST_v3, Creatinine_v4, Hepatitis_B_C_v2","1, 2, 5, 6, 8, 11",0.577847295985664,0.232964609249654,0.293437072714196,0.191791906654031,0.219127205199626,3540,0.40083469969486,0.984233980851695,1,17.3886927196985,0,1.61394938117326
"C1075","ECOG, WBC, Hemoglobin, ALT_AST_v3, Hepatitis_B_C_v2","1, 2, 5, 6, 11",0.577847295985664,0.232964609249654,0.293437072714196,0.191791906654031,0.219127205199626,3540,0.40083469969486,0.984233980851695,1,17.3252687958738,0,1.62631624337756
"C147","ECOG, WBC, Hemoglobin, Creatinine_v4","1, 2, 5, 8",0.578269280474126,0.231194788941802,0.2930800135644,0.19062151561269,0.219370608004889,3590,0.40016387731761,0.987852078353482,1,17.314961317199,1,23.5574748794374
"C1043","ECOG, WBC, Hemoglobin, Hepatitis_B_C_v2","1, 2, 5, 11",0.579154994158785,0.230503738499463,0.293509416067567,0.189737342662655,0.21861604409063,3583,0.400060870133117,0.986734383279317,1,17.2821186272565,0,1.61781409325268
"C563","ECOG, WBC, Hemoglobin, ALT_AST_v3, HIV_v2","1, 2, 5, 6, 10",0.576664744739155,0.229388707284649,0.292838543757239,0.187392875325928,0.219678217821784,3541,0.402177510388338,0.984396678289579,1,17.2661694108312,0,1.62696579585059
"C1171","ECOG, WBC, Hemoglobin, Creatinine_v4, Hepatitis_B_C_v2","1, 2, 5, 8, 11",0.579154994158785,0.230503738499463,0.293509416067567,0.189737342662655,0.21861604409063,3583,0.400060870133117,0.986734383279317,1,17.2656219004166,0,1.61395256028044
"C529","ECOG, Hemoglobin, HIV_v2","1, 5, 10",0.57982663580865,0.231867892146494,0.292816907754857,0.191504334865182,0.21909424724602,3586,0.402805602936414,0.987266459845588,1,17.2556000793493,1,23.5360719988387
"C19","ECOG, WBC, Hemoglobin","1, 2, 5",0.578269280474126,0.231194788941802,0.2930800135644,0.19062151561269,0.219370608004889,3590,0.40016387731761,0.987852078353482,1,17.2443880182503,1,23.5576522959307
"C1617","ECOG, Hemoglobin, Total_bilirubin, HIV_v2, Hepatitis_B_C_v2","1, 5, 7, 10, 11",0.582287733963119,0.208015535738117,0.298051135038815,0.160604513002832,0.218215728940004,3531,0.387044271956595,0.984025252848833,1,17.2331680222178,0,1.58573940452617
"C657","ECOG, Hemoglobin, Creatinine_v4, HIV_v2","1, 5, 8, 10",0.57982663580865,0.231867892146494,0.292816907754857,0.191504334865182,0.21909424724602,3586,0.402805602936414,0.987266459845588,1,17.2323031144614,1,23.6662473185916
"C1555","ECOG, WBC, Hemoglobin, HIV_v2, Hepatitis_B_C_v2","1, 2, 5, 10, 11",0.579381772460976,0.232088233385188,0.293297018290084,0.191722533504642,0.218404907975459,3577,0.401648636180189,0.985684737021266,1,17.2295417575878,1,23.4865727972129
"C1715","ECOG, WBC, Hemoglobin, ALT_AST_v3, Creatinine_v4, HIV_v2, Hepatitis_B_C_v2","1, 2, 5, 6, 8, 10, 11",0.5782243343531,0.234721705326047,0.29297588514605,0.193923011859646,0.218914728682174,3534,0.402764249794677,0.983108737861292,1,17.2168299940488,0,1.61339229337072
"C1041","ECOG, Hemoglobin, Hepatitis_B_C_v2","1, 5, 11",0.581100253771393,0.231044874859553,0.293853106179298,0.190465496231814,0.218549127640036,3585,0.400060958024304,0.987148355525559,1,17.2082920055545,0,1.60881329678487
"C145","ECOG, Hemoglobin, Creatinine_v4","1, 5, 8",0.580986268285005,0.230146010115141,0.293605583675498,0.189427833673898,0.219303604153943,3592,0.400175477940888,0.988254028156202,1,17.2059353302916,0,1.623489881815
"C1169","ECOG, Hemoglobin, Creatinine_v4, Hepatitis_B_C_v2","1, 5, 8, 11",0.581100253771393,0.231044874859553,0.293853106179298,0.190465496231814,0.218549127640036,3585,0.400060958024304,0.987148355525559,1,17.1744653838524,0,1.61925213194648
"C1745","ECOG, Hemoglobin, Total_bilirubin, Creatinine_v4, HIV_v2, Hepatitis_B_C_v2","1, 5, 7, 8, 10, 11",0.582287733963119,0.208015535738117,0.298051135038815,0.160604513002832,0.218215728940004,3531,0.387044271956595,0.984025252848833,1,17.1690220194406,0,1.58823419197411
"C1681","ECOG, Hemoglobin, Creatinine_v4, HIV_v2, Hepatitis_B_C_v2","1, 5, 8, 10, 11",0.581325396368996,0.231756324870532,0.293685319919025,0.19138445417317,0.218337933149339,3579,0.401300358092025,0.986081828083292,1,17.1550089268002,0,1.59546402282193
"C17","ECOG, Hemoglobin","1, 5",0.580986268285005,0.230146010115141,0.293605583675498,0.189427833673898,0.219303604153943,3592,0.400175477940888,0.988254028156202,1,17.145439396945,0,1.61898008154072
"C1683","ECOG, WBC, Hemoglobin, Creatinine_v4, HIV_v2, Hepatitis_B_C_v2","1, 2, 5, 8, 10, 11",0.579381772460976,0.232088233385188,0.293297018290084,0.191722533504642,0.218404907975459,3577,0.401648636180189,0.985684737021266,1,17.1008688752232,1,23.4942500927404
