path_id,criteria,hr_os,selog_hr_os,hr_pfs,selog_hr_pfs,ae,number_of_patients,ease,g_index,sucra_os,sucra_pfs
C00,,0.523105361,0.168482303,0.594368328,0.140437973,0.132324408,3496,0.101717544,1,7.288789749,7.341174126
C780,"Hemoglobin, Bilirubin_v2, PDL1.exclude.lpilimumab, CNS_Metastasis, ECOG",0.560343076,0.206472602,0.589644584,0.10288426,0.135575943,1326,0.105909182,0.855570882,6.507414818,7.659199715
C513,"Neutrophils, CNS_Metastasis, ECOG",0.561257244,0.262625586,0.672697582,0.19404094,0.126136364,1206,0.132728587,0.856151875,6.319952965,5.430113792
C524,"Hemoglobin, Bilirubin_v2, CNS_Metastasis, ECOG",0.57390256,0.20655804,0.589626367,0.102623996,0.135437882,1327,0.09997417,0.856078103,6.23731041,7.643903732
C908,"Hemoglobin, Bilirubin_v2, PDL1.exclude.Docetaxel, PDL1.exclude.lpilimumab, CNS_Metastasis, ECOG",0.576477342,0.20706494,0.589473055,0.102893772,0.135245902,1321,0.088427994,0.854685718,6.229718208,7.6710186
C268,"Hemoglobin, Bilirubin_v2, PDL1.exclude.lpilimumab, ECOG",0.577184384,0.205785207,0.598178369,0.102801192,0.135575943,1328,0.066298332,0.854953507,6.217856407,7.472857475
C396,"Hemoglobin, Bilirubin_v2, PDL1.exclude.Docetaxel, PDL1.exclude.lpilimumab, ECOG",0.57876541,0.205367094,0.609001777,0.102527011,0.135245902,1323,0.045948488,0.854085924,6.191707611,7.227842331
C42,"Platelets, Bilirubin_v2, ALT_v2, ECOG",0.573344805,0.234952093,0.682906152,0.15247663,0.124454148,1255,0.086988643,0.830638924,6.169505119,5.247462273
C266,"Platelets, Bilirubin_v2, PDL1.exclude.lpilimumab, ECOG",0.57602568,0.237724832,0.685264911,0.159618015,0.124341412,1295,0.094696557,0.83213775,6.163470268,5.230952263
C204,"Hemoglobin, Bilirubin_v2, Alkaline, PDL1.exclude.Docetaxel, ECOG",0.577193635,0.206154147,0.587064366,0.1016562,0.133402275,1309,0.078113153,0.8597917,6.16070652,7.69615078
C1,"Neutrophils, ECOG",0.570471827,0.257912375,0.691400324,0.189044324,0.126136364,1209,0.140790379,0.854587607,6.148728371,5.021611214
C1011,"Neutrophils, Platelets, AST_v2, ALT_v2, Alkaline, PDL1.exclude.Docetaxel, PDL1.exclude.lpilimumab, CNS_Metastasis, ECOG",0.576746892,0.229424065,0.691906934,0.116761836,0.121409922,1053,0.087650086,0.832402018,6.140174866,5.056344986
C650,"Platelets, Bilirubin_v2, PDL1.exclude.Docetaxel, CNS_Metastasis, ECOG",0.577644529,0.231531804,0.657048559,0.149469748,0.123678647,1289,0.088886629,0.834306771,6.126122475,5.866262436
C819,"Neutrophils, Platelets, AST_v2, ALT_v2, PDL1.exclude.lpilimumab, CNS_Metastasis, ECOG",0.579283324,0.224509282,0.722981577,0.116232292,0.123234917,1071,0.113421032,0.828826893,6.126028061,4.310419083
C170,"Platelets, Bilirubin_v2, ALT_v2, PDL1.exclude.Docetaxel, ECOG",0.580401425,0.207190604,0.677575544,0.107484729,0.123903509,1251,0.003784739,0.830954117,6.120346069,5.421043396
C12,"Hemoglobin, Bilirubin_v2, ECOG",0.581565755,0.205246462,0.603468546,0.102530719,0.135437882,1329,0.069894434,0.855456557,6.114395142,7.340895653
C138,"Platelets, Bilirubin_v2, PDL1.exclude.Docetaxel, ECOG",0.58196154,0.204698957,0.669733743,0.106254832,0.123678647,1292,0.01447956,0.832938585,6.100056648,5.633340836
C460,"Hemoglobin, Bilirubin_v2, Alkaline, PDL1.exclude.Docetaxel, PDL1.exclude.lpilimumab, ECOG",0.578887159,0.24003753,0.585922609,0.158903023,0.133540373,1308,0.114969575,0.859300459,6.093719482,7.410610199
C929,"Neutrophils, ALT_v2, PDL1.exclude.Docetaxel, PDL1.exclude.lpilimumab, CNS_Metastasis, ECOG",0.574760597,0.277237127,0.639027197,0.209166028,0.123662307,1157,0.151706153,0.856260472,6.09030056,6.111272812
C307,"Neutrophils, Platelets, AST_v2, ALT_v2, PDL1.exclude.lpilimumab, ECOG",0.580953091,0.225924014,0.753181672,0.116174356,0.123234917,1072,0.152593114,0.828701145,6.087788582,3.629634857
C258,"Platelets, PDL1.exclude.lpilimumab, ECOG",0.585274588,0.191374981,0.657515922,0.100609412,0.131163708,1387,0.015866798,0.852213407,6.066918373,5.967204094
C947,"Neutrophils, Platelets, AST_v2, ALT_v2, PDL1.exclude.Docetaxel, PDL1.exclude.lpilimumab, CNS_Metastasis, ECOG",0.583286852,0.225578718,0.685594421,0.116053044,0.122580645,1067,0.076671809,0.829383103,6.06188488,5.241638184
C10,"Platelets, Bilirubin_v2, ECOG",0.577449488,0.242908586,0.688131444,0.165920212,0.124210526,1296,0.101428936,0.832557086,6.055384636,5.089414597
C522,"Platelets, Bilirubin_v2, CNS_Metastasis, ECOG",0.579253751,0.263889301,0.668619613,0.19430217,0.124210526,1293,0.130900869,0.833935735,6.045283318,5.54518795
C2,"Platelets, ECOG",0.587125933,0.191419099,0.65906782,0.100579937,0.131034483,1388,0.019080648,0.852592785,6.043815613,5.934806824
C172,"Hemoglobin, Bilirubin_v2, ALT_v2, PDL1.exclude.Docetaxel, ECOG",0.58787994,0.212438587,0.615521504,0.110226178,0.135163675,1288,0.035385683,0.848704476,6.025243759,7.04598999
C883,"Neutrophils, Platelets, AST_v2, ALT_v2, Alkaline, PDL1.exclude.lpilimumab, CNS_Metastasis, ECOG",0.583136415,0.230026006,0.707235183,0.11749379,0.122077922,1057,0.107292221,0.831797009,6.025100708,4.6704216
C940,"Hemoglobin, Bilirubin_v2, ALT_v2, PDL1.exclude.Docetaxel, PDL1.exclude.lpilimumab, CNS_Metastasis, ECOG",0.581455652,0.227562228,0.589426057,0.13620864,0.135306554,1286,0.090597604,0.848248763,6.018393517,7.425304413
C755,"Neutrophils, Platelets, AST_v2, ALT_v2, Alkaline, PDL1.exclude.Docetaxel, CNS_Metastasis, ECOG",0.583807329,0.230795615,0.695933388,0.117322472,0.12125163,1054,0.091134822,0.833022632,5.995277405,4.947762489
C499,"Neutrophils, Platelets, AST_v2, ALT_v2, Alkaline, PDL1.exclude.Docetaxel, PDL1.exclude.lpilimumab, ECOG",0.585913294,0.229128795,0.734627188,0.117102137,0.121409922,1054,0.157721637,0.832255388,5.984079361,4.032554626
C739,"Neutrophils, Platelets, ALT_v2, Alkaline, PDL1.exclude.Docetaxel, CNS_Metastasis, ECOG",0.585833326,0.229895272,0.717698251,0.116493753,0.120936281,1056,0.132614711,0.834413605,5.970304489,4.412541389
C675,"Neutrophils, Platelets, ALT_v2, PDL1.exclude.Docetaxel, CNS_Metastasis, ECOG",0.592117447,0.222706749,0.704658293,0.115674242,0.123234917,1071,0.126894707,0.831304591,5.936110497,4.782938004
C556,"Hemoglobin, Bilirubin_v2, ALT_v2, CNS_Metastasis, ECOG",0.589611969,0.235080559,0.60238334,0.147467065,0.135504202,1292,0.096407058,0.849796954,5.934305191,7.143722534
C289,"Neutrophils, ALT_v2, PDL1.exclude.lpilimumab, ECOG",0.585779966,0.271506238,0.676525664,0.201708963,0.124113475,1163,0.160918865,0.856987253,5.927153587,5.379348755
C945,"Neutrophils, AST_v2, ALT_v2, PDL1.exclude.Docetaxel, PDL1.exclude.lpilimumab, CNS_Metastasis, ECOG",0.584103392,0.27181664,0.635383843,0.200672301,0.123058542,1152,0.141791411,0.856514027,5.92698288,6.182829857
C243,"Neutrophils, Platelets, AST_v2, ALT_v2, Alkaline, PDL1.exclude.Docetaxel, ECOG",0.588360126,0.22968067,0.725236514,0.116774083,0.12125163,1055,0.145490825,0.832870588,5.92083931,4.22684288
C140,"Hemoglobin, Bilirubin_v2, PDL1.exclude.Docetaxel, ECOG",0.594006289,0.205318005,0.607017207,0.10232054,0.135107472,1324,0.05235626,0.854551163,5.901699066,7.265192986
C257,"Neutrophils, PDL1.exclude.lpilimumab, ECOG",0.581501841,0.295054225,0.68537505,0.23707536,0.126279863,1208,0.181411321,0.853877833,5.891261101,5.113418579
C716,"Hemoglobin, Bilirubin_v2, Alkaline, PDL1.exclude.Docetaxel, CNS_Metastasis, ECOG",0.592902085,0.221633165,0.590912879,0.127295872,0.133402275,1307,0.090942439,0.860389915,5.887131691,7.493561745
C99,"Neutrophils, Platelets, ALT_v2, Alkaline, ECOG",0.592372631,0.228591306,0.734697672,0.116739558,0.12160414,1061,0.165422459,0.833635217,5.8862257,4.03964138
C392,"Bilirubin_v2, PDL1.exclude.Docetaxel, PDL1.exclude.lpilimumab, ECOG",0.582751511,0.314464877,0.62885057,0.268476694,0.128107075,1431,0.200028527,0.859656396,5.885665894,6.128734589
C394,"Platelets, Bilirubin_v2, PDL1.exclude.Docetaxel, PDL1.exclude.lpilimumab, ECOG",0.591086924,0.226415469,0.69298673,0.143951552,0.123809524,1291,0.07661677,0.832515927,5.88150692,5.011717796
C428,"Hemoglobin, Bilirubin_v2, ALT_v2, PDL1.exclude.Docetaxel, PDL1.exclude.lpilimumab, ECOG",0.59036161,0.209306278,0.609394363,0.104995913,0.135306554,1287,0.034972196,0.848312696,5.87923336,7.136021614
C588,"Hemoglobin, Bilirubin_v2, Alkaline, CNS_Metastasis, ECOG",0.596848371,0.208767785,0.585381836,0.102263272,0.133744856,1312,0.109422563,0.861326555,5.87744236,7.767765045
C995,"Neutrophils, Platelets, ALT_v2, Alkaline, PDL1.exclude.Docetaxel, PDL1.exclude.lpilimumab, CNS_Metastasis, ECOG",0.590971296,0.229378888,0.706087627,0.116274889,0.12109375,1055,0.119735733,0.833722049,5.875377655,4.67944622
C563,"Neutrophils, Platelets, AST_v2, ALT_v2, CNS_Metastasis, ECOG",0.593785324,0.224539233,0.700416673,0.116883358,0.123076923,1072,0.092364142,0.829420636,5.856999397,4.844369888
C972,"Hemoglobin, Bilirubin_v2, Alkaline, PDL1.exclude.Docetaxel, PDL1.exclude.lpilimumab, CNS_Metastasis, ECOG",0.589772381,0.266541968,0.5773253,0.195071557,0.133540373,1306,0.154277577,0.859898859,5.852261543,7.368988991
C483,"Neutrophils, Platelets, ALT_v2, Alkaline, PDL1.exclude.Docetaxel, PDL1.exclude.lpilimumab, ECOG",0.594245595,0.228452851,0.730778289,0.116170383,0.12109375,1056,0.169302948,0.833585259,5.848438263,4.133180618
C835,"Neutrophils, Platelets, Alkaline, PDL1.exclude.lpilimumab, CNS_Metastasis, ECOG",0.593081095,0.226274242,0.725975923,0.115780179,0.122807018,1091,0.127243792,0.831891554,5.847863197,4.213442802
C781,"Neutrophils, Hemoglobin, Bilirubin_v2, PDL1.exclude.lpilimumab, CNS_Metastasis, ECOG",0.581800503,0.34729593,0.713414706,0.281753326,0.122292994,1056,0.220941955,0.833355446,5.845215797,4.722706795
C168,"Bilirubin_v2, ALT_v2, PDL1.exclude.Docetaxel, ECOG",0.583063638,0.355165187,0.632233371,0.314903076,0.128458498,1390,0.238124288,0.858377431,5.844595909,5.994152069
C227,"Neutrophils, Platelets, ALT_v2, Alkaline, PDL1.exclude.Docetaxel, ECOG",0.597563283,0.22777439,0.737824835,0.116216236,0.120936281,1057,0.176847057,0.834271107,5.844119072,4.012787819
C915,"Neutrophils, Platelets, AST_v2, PDL1.exclude.Docetaxel, PDL1.exclude.lpilimumab, CNS_Metastasis, ECOG",0.592007984,0.223733667,0.703378239,0.115111004,0.122940431,1087,0.084973006,0.829892923,5.843770981,4.731653214
C680,"Bilirubin_v2, ALT_v2, PDL1.exclude.Docetaxel, CNS_Metastasis, ECOG",0.57741927,0.381862919,0.616727425,0.344279568,0.128458498,1389,0.264589685,0.858404961,5.83896637,6.116755486
C627,"Neutrophils, Platelets, AST_v2, ALT_v2, Alkaline, CNS_Metastasis, ECOG",0.595519632,0.230707121,0.704572929,0.117460196,0.121919585,1058,0.104778541,0.83239663,5.828582764,4.749536514
C209,"Neutrophils, AST_v2, Alkaline, PDL1.exclude.Docetaxel, ECOG",0.595895708,0.237129255,0.683720181,0.148323527,0.122327791,1160,0.107737579,0.858758622,5.828291893,5.277633667
